Science_Name,Name,Image_Url ,Red_list,Characteristic,Behavior,Habitat
Anas platyrhynchos,Vịt cổ xanh,creature/animal/Anas_platyrhynchos.jpg,0,"Đầu, phần trên cổ lục thẫm rất bóng, phần dưới cổ có một vòng hẹp trắng tinh. Phần trên lưng và vai nâu nhạt xám, chuyển dần thành nâu tím thẫm ở phần dưới cổ và ngực. Hông, trên đuôi đen. Bốn lông đuôi giữa đen, ánh lục. Các lông đuôi ngoài xám nhạt viền trắng, trừ dải gần thân lông nâu xám. Bao cánh xám thẫm hay xám nâu, bao cánh lớn, có mút đen và dải gần mút trắng tạo thành hai dải trắng và đen ở ngang cánh rất rõ.Gương cánh xanh ánh thép, hai bên có viền đen và trắng. Lông cánh sơ cấp và các lông cánh thứ cấp trong nâu thẫm. Phần dưới ngực, sườn và bụng xám nhạt trắng, có vằn li ti màu nâu thẫm. Dưới đuôi đen nhung.","Vịt cổ xanh là một loài vịt thích nước, sống gần nước, ưa thức ăn đa dạng, thích sống xã hội, thích nghi với nhiều môi trường, và thường xuất hiện gần con người.","Vịt cổ xanh sống gần nước, bao gồm ao, hồ, sông, và đầm lầy. Chúng cũng có thể thích nghi với môi trường đô thị và được tìm thấy gần con người."
Anastomus oscitans,Cò nhạn,creature/animal/Anastomus_oscitans.jpg,1,"Chim trưởng thành: Mùa hè, các lông cánh sơ cấp, lông cánh thứ cấp, lông vai dài nhất, cánh con, lông bao cánh sơ cấp và thứ cấp, lông đuôi màu đen có ánh lục hay hồng. Phần còn lại của bộ lông màu trắng. Mùa đông, các lông trắng ở mặt lưng được thay thế bằng lông xám nhạt. Mắt trắng, xám vàng nhạt hay nâu nhạt. Mỏ xám sừng hơi lục, phần dưới mỏ hơi hung. Da trần quanh mắt màu đen. Chân hồng vàng nhạt hay hồng nâu nhạt. Kích thước cơ thể lớn với đặc điểm nổi bật là mỏ trên và dưới không khép chặt vào nhau ở đoạn giữa mà chỉ ở chóp và gốc mỏ. Chim non: Đầu, cổ và trước ngực có màu nâu xám nhạt. Vai màu nâu đen nhạt, các lông đều viền xám hung nhạt.","Thức ăn chủ yếu là ốc, các động vật thuỷ sinh như ếch nhái, cua, côn trùng lớn. Theo tài liệu thì cò nhạn làm tổ tập đoàn cùng một số loài cò, diệc, cò quăm. Tổ của chúng làm rất gần nhau.","Ở các sinh cảnh khác nhau của các vùng đất ngập nước như là hồ ao, kênh mương, sông, bãi bùn ngập nước, ruộng lúa."
Anguilla japonica,Cá chình nhật,creature/animal/Anguilla_japonica.jpg,1,"Cá cỡ trung bình, thân hình trụ dài, dạng rắn. Miệng rộng ở mút mõm. Rạch miệng kéo dài về sau tới viền sau mắt. Vây lưng nằm lùi về phía sau, liên tục với vây đuôi và vây hậu môn. Khoảng cách giữa khởi điểm vây lưng và khởi điểm vây hậu môn ngắn hơn chiều dài đầu. Vây ngực tồn tại. Vây bụng thiếu. Cá có màu nâu sáng, ánh xanh.","Cá chình nhật thuộc loại cá dữ. ở giai đoạn cá giống chúng ăn chủ yếu là luân trùng, giun ít tơ, ấu trùng côn trùng. Chúng cũng ăn các loài ốc hến, mảnh vụn hữu cơ. Khi cá nặng 5g trở lên bắt đầu ăn cá con và xác động vật chết. Hàng năm đến mùa sinh sản cá bố mẹ kết đàn từ sông hoặc đầm hồ ra biển. Trong hành trình cá di chuyển trên biển tuyến sinh dục chín dần và cuối cùng đến bãi đẻ ở ngoài biển sâu để đẻ trứng. Trứng nở ra thành ấu trùng dạng dẹt hình lá liễu. Qua biến thái nhiều lần thành Cá chình con. Cá con theo dòng hải lưu hoặc sóng biển di cư vào ven bờ, các thuỷ vực nước ngọt nội địa để sinh sống và trưởng thành.","Cá chình nhật sống ở nước ngọt, khi thành thục di cư ra biển sinh sản."
Aquila clanga,Đại bàng đen,creature/animal/Aquila_clanga.jpg,1,"Chim có kích thước trung bình, nhìn chung tối màu. Con trưởng thành có màu lông nâu đen. Lông bao dưới cánh có màu tối hơn so với lông cánh xoè ra khi bay. Chim non màu lông phía trên thân có các dải lông màu trắng lốm đốm chạy dọc trên cơ thể. Trong mùa làm tổ thường kêu to.","Thức ăn là các loài thú và chim nước có kích thước nhỏ, ếch nhái, rắn. Săn mồi trên các vùng rừng ngập nước ngọt nội địa .","Đại bàng phân bố ở các vùng rừng thuộc đai địa hình đồi núi thấp, gần với sinh cảnh đất ngập nước. Chúng làm tổ trên cây cao."
Bos gaurus,Bò tót,creature/animal/Bos_gaurus.jpg,1,"Là một loài động vật có vú guốc chẵn, họ Trâu bò. Chúng có lông màu sẫm và kích thước rất lớn. Một con bò đực trưởng thành cao trung bình 1,8-1,9m, dài trung bình khoảng 3 m, khối lượng trung bình của bò tót vào khoảng hơn 1 tấn, Những con to có thể cao tới 2,1 - 2,2m, dài 3,6 - 3,8m và nặng hơn 1,7 tấn.","Thức ăn chủ yếu là cỏ, mầm lá non của lau sậy, chuối rừng, măng non tre nứa. Sống thành từng đàn 5 - 10 con (có đàn tới 20 - 30 con) đôi khi cũng gặp những cá thể sống đơn lẻ lẫn với đàn bò rừng. Hoạt động kiếm ăn ban ngày. Ban đêm nghỉ ngơi ở nơi quang đãng thoáng mát. Trong thiên nhiên hổ, báo, chó sói có thể tấn công đàn bò tót, khi bị tấn công cả đàn quây tròn bảo vệ con non, con già ở giữa.","Nơi sinh sống của bò tót là rừng già thường xanh, rừng khộp, rừng hỗn giao tre nứa, rừng thứ sinh địa hình tương đối bằng ở độ cao 500 - 1500m so với mặt biển."
Bubalus bubalis,Trâu rừng,creature/animal/Bubalus_bubalis.jpg,1,"Trâu rừng là loài tổ tiên của trâu nhà, và là loài trâu bò hoang dã lớn thứ hai sau bò tót. Có hình dạng giống trâu nhà, nhưng to và khoẻ hơn. Thân dài tới 2,8 m. Trọng lượng 800 - 1200kg. Đầu to, mõm ngắn, trán có lông dài rậm màu xám đen, phía dưới cổ có đám lông trắng hình chữ V. Sừng dài, uốn cong hình lưỡi liềm, dài 1,4 - 2m, mặt cắt ngang gốc sừng hình tam giác. Thân sừng có nhiều vết nhăn nheo, mút sừng nhọn hướng về phía sau. Lưng màu xám hoặc nâu xám. Đuôi ngắn có túm lông ở mút.","Hoạt động kiếm ăn ban ngày vào buổi sáng và chiều tối trong rừng thưa, ven rừng, trảng cỏ cây bụi. Buổi trưa thường nghỉ ngơi, đầm mình trong bùn nước khi tiết trời nóng bức. Ban đêm ngủ cả đàn quây thành vòng tròn, con non, con già ở giữa. Trâu rừng có thể bị hổ báo tấn công, nhưng nhờ tập tính sống đàn bảo vệ lẫn nhau nên ít bị nguy hiểm.","Thường sống ở những cánh rừng già, rừng thưa ven sông suối, hoặc trong thung lũng sâu có sình lầy ẩm ướt địa hình bằng phẳng, không sống ở núi cao sườn dốc lớn. Sống thành từng đàn 20 - 30 con."
Bungarus candidus,Rắn cạp nia nam,creature/animal/Bungarus_candidus.jpg,1,"Rắn cạp nia nam hay rắn hổ khoang, rắn vòng bạc là một loài rắn cạp nia thuộc họ Rắn hổ. Nọc rắn cạp nia nam gây tử vong tới 50% ngay cả khi điều trị bằng huyết thanh chống nọc độc; còn khi không điều trị bằng huyết thanh thì tỷ lệ tử vong là 70% đối với người","Dọc trên thân của loài rắn cạp nia nam này là những khoanh màu đen trắng xen kẽ nhau; gồm từ 19 đến 30 khoanh màu đen không vòng qua thân bụng và 7 đến 9 khoanh trên đuôi Các vảy màu đen riêng lẻ thường phân bố trên các khoanh màu trắng ở nơi nối tiếp với phần bụng màu trắng. Đầu rắn màu đen xám, phía trên hai bên miệng màu sáng hơn một chút. Như tất cả loài rắn thuộc giống Bungarus đều có các vảy trơn nhẵn và phình rộng nơi xương sống.",Là loài ăn đêm và săn mồi chủ yếu là các loại rắn khác. Con cái đẻ từ 4 - 10 trứng mỗi năm; rắn con dài 27 - 29cm. Nọc độc của chúng có khả năng gây chết người và sống ở các khu rừng rậm nhiệt đới và đã gặp ở độ cao lên tới 1.500m.
Callosciurus erythraeus,Sóc bụng đỏ,creature/animal/Callosciurus_erythraeus.jpg,1,"Sóc bụng đỏ nặng 0,2 – 0,3 kg, thân dài 200 – 260mm, đuôi dài 200mm, có phần lưng màu xanh ô liu và bụng thường có màu đỏ.","Giống như các loài sóc cây khác, thức ăn của sóc bụng đỏ chủ yếu là lá, hoa, hạt và quả, mặc dù trong các khu vực khác nhau thì chúng có các loại thức ăn khác biệt do phạm vi phân bố rộng. Bên cạnh đó, chúng cũng ăn một lượng nhỏ côn trùng và thỉnh thoảng ăn cả trứng chim.","Chúng thường sống và làm tổ trong các hốc cây trong các khu rừng dưới chân núi cho đến các vùng đồng bằng, kể cả các vùng rừng đã bị tác động mạnh."
Capricornis sumatraensis,Sơn dương,creature/animal/Capricornis_sumatraensis.JPG,1,"Là một loài động vật có vú trong họ Bovidae. Con trưởng thành nặng trên 150kg. Hình dáng gần giống nai, trên đỉnh đầu có đám lông dài tạo thành bờm, có những chùm lông dài phủ từ tai đến góc miệng. Cả đực và cái đều có sừng ngắn không dài quá 30cm., sừng hình ống hình tròn có nhiều nếp ngang úp vào xương sừng, mút sừng nhọn cong về phía sau. Sừng không phân nhánh. Toàn thân phủ lông dày, dài, cứng màu xám đen hoặc xám tro. Từ trán đến vai lông rất dài tạo thành bờm. Đuôi rất ngắn.","Sơn dương kiếm ăn ở lưng chừng núi đá và cả trên đỉnh núi. Thức ăn là cỏ, lá cây, cành cây nhỏ, mầm cây, quả cây, rêu và địa y trên vách đá. Vùng hoạt động cá thể không lớn và ổn định lâu dài nên dễ bị săn bắn và bẫy bắt. Sống thành từng nhóm 3 - 4 cá thể, con già thường sống đơn độc. Kẻ thù của Sơn dương (con non) là thú ăn thịt cỡ lớn: Hổ, Báo..","Sơn dương sống ở những vùng rừng núi đá, chủ yếu là vùng núi đá vôi ở độ cao từ 50 - 2000m so với mặt biển. Nơi ở, trú ẩn thường là hang hốc đá."
Cervus nippon,Hươu sao,creature/animal/Cervus_nippon.jpg,1,"Hươu sao là một thành viên của giống Cervus, một nhóm hươu còn được gọi là ""hươu thực thụ"".Có kích cỡ trung bình, con đực luôn lớn hơn nhiều so với con cái. Trọng lượng cơ thể 60 - 80kg. Con đực có sừng 2 - 4 nhánh, nhỏ hơn sừng nai. Thân phủ lông ngắn, mịn, màu vàng hung, có 6 - 8 hàng chấm trắng (như sao) dọc theo hai bên thân. Có vệt lông mầu xám kéo dài từ gáy dọc theo sống lưng. Bụng màu vàng nhạt. Bốn chân thon nhỏ màu vàng xám. Đuôi ngắn, phía trên vàng xám, phía đuôi trắng, mút đuôi có túm lông trắng.","Thức ăn là cỏ, lá cây, ưa thích nhất là các loại lá cây có nhựa mủ như: sung, ngái, mít... Thời kỳ động dục tập trung vào tháng 8, 9. Thời gian có chửa 215 - 235 ngày. Mỗi năm đẻ 1 lứa, mỗi lứa đẻ 1 con. Thời gian nuôi con 3 - 4 tháng. Con đực cho nhung thường vào tháng 3 - 4 dương lịch hàng năm. Ngoài thiên nhiên hươu sao sống ở rừng thưa trên núi đất, ưa thích nơi khô ráo. Sống thành từng đàn, hiền lành và nhút nhát. Trong điều kiện nuôi dưỡng thường mắc một số bệnh đường tiêu hoá, bệnh phổi, bệnh vi rút ở móng, bệnh ký sinh trùng máu.","Hươu sao được tìm thấy trong các khu rừng ôn đới và cận nhiệt đới ở Đông Á, thích những khu vực có mật độ dày đặc và tuyết rơi không quá 10–20 cm"
Cervus unicolor,Nai,creature/animal/Cervus_unicolor.jpg,1,"Là một loài thú lớn thuộc họ Hươu, thân dài khoảng 1,8 tới 2 mét, vai cao 1,4 đến 1,6 mét và nặng khoảng 2 tạ khi trưởng thành. Bộ lông dày, sợi lông nhỏ, dài, nâu ở hông và mông, xám hay xám đen ở lưng và ngực, trắng bẩn ở bụng và mặt trong các chi. Nai đực có sừng (gạc) ba nhánh. Nhánh thứ nhất tạo với nhánh chính một góc nhọn lớn. Sừng to, thô, nhiều nhánh và nhiều đốt sần.","Sống đàn hoặc đơn, kiếm ăn đêm. Nơi xa dân cư. Nai có thể kiếm ăn cả lúc sáng sớm và chiều tối. Nai ăn các loại cỏ, lá mầm,  cây bụi, cây tái sinh và một số loại quả rừng rụng xuống. trong điều kiện nuôi Nai ăn 20 - 25 kg cỏ, lá một ngày. Nai sinh sản tập trung vào mùa thu và mùa xuân.","Nai sống nhiều sinh cảnh rừng: rừng thưa, rừng rụng lá,  rừng thứ sinh ven trảng cỏ. Mật độ cao gặp ở các vùng rừng ven suối và đồi bát úp. Nai không sống ở độ cao trên 1.000m. Khu vực sống rộng 4 - 5 km2 và ổn định."
Columba punicea,Bồ câu nâu,creature/animal/Columba_punicea.jpg,1,"Chiều dài thân: 36 - 41 cm. Con đực trưởng thành có màu lông ở đỉnh đầu và xung quanh mắt trắng bạc và màu xám ở con cái, còn ở chim non có màu nâu hung nhạt như màu lông ở cổ. Da gốc mỏ và vòng quanh mắt màu đỏ.","Thức ăn chủ yếu là các loại quả và hạt. Cho đến nay người ta chưa biết rõ quy luật di chuyển trong các vùng cư trú khác nhau của chúng. Về đặc tính sinh sản, được mô tả là chim làm tổ vào tháng 6-7 hàng năm, tổ làm trên cây nhỏ, ở bụi rậm cao hay tre, cách xa mặt đất khoảng 6m, đẻ 01 trứng, màu trắng, kích thước trứng 37,6 x 29,2mm.","Vùng cư trú đa dạng, gặp từ đai thấp tới các đai có độ cao khoảng 1.600m. Chủ yếu gặp ở rừng thường xanh nguyên sinh hay thứ sinh, nhưng đồng thời cũng gặp ở những nơi trống trải, rừng cây họ dầu, tre nứa và cả vùng trồng trọt."
Crocodylus porosus,Cá sấu Hoa Cà,creature/animal/Crocodylus_porosus.jpg,1,"Cá sấu hoa cà là loài bò sát cỡ lớn, khác biệt với cá sấu xiêm ở phần đầu, chiều dài cơ thể tới 6m. Mõm dài, có 2 gờ chạy từ mũi tới mắt, không có tấm sau chẩm. Toàn thân phủ tấm sừng, những tấm sừng trên lưng cách nhau bởi màng da. Đuôi cao, to và khỏe, phía trên có 4 gờ. Chân sau có màng bơi nối giữa các ngón. Trên lưng màu vàng và xám đen xen kẽ nhau.","Cá sấu non ăn chủ yếu tôm, cua, sâu bọ và cá nhỏ; con trưởng thành ăn thêm cả động vật có xương sống có kích cỡ phù hợp với kích thước cơ thể chúng.","Thường sống ở vùng duyên hải, ven các đảo, các cửa sông lớn hay các vùng rừng ngập mặn hoặc các đầm lầy nước lợ; nơi sống có thể mở rộng đến tận các đoạn sông có độ sâu lớn, ít chịu ảnh hưởng của thủy triều."
Elephas maximus,Voi,creature/animal/Elephas_maximus.jpg,1,"Voi là động vật có vú thuộc họ Elephantidae và là động vật trên cạn lớn nhất hiện nay.Đặc điểm nổi bật của tất cả các loài voi bao gồm cái vòi dài, cặp ngà lớn, vạt tai lớn, bốn chân to và làn da dày nhưng nhạy cảm.cá thể đực có thể cao từ 304–336 cm tới vai, với khối lượng cơ thể từ 5,2–6,9 tấn; cá thể cái có thể cao từ 247–273 cm tới vai, với khối lượng cơ thể từ 2,6–3,5 tấn.","Thức ăn là cỏ, lá cây, cành cây nhỏ, măng tre nứa, cây chuối rừng. Chu kỳ sinh sản 4 - 5 năm 1 lứa, mỗi lứa đẻ 1 con, thời gian có chửa 21 - 22 tháng. Voi sơ sinh nặng 90 -100kg. cao tới 1 mét. Tuổi sinh sản từ 15 - 50 tuổi. Tuổi thọ 80 - 90 năm hoặc hơn.","Sống ở rừng thưa, rừng thứ sinh pha tre nứa, xen lẫn các trảng cỏ trong các thung lũng hay các vùng đồi núi thấp. Độ cao phân bố lên tới 1500 - 1600m so với mặt biển."
Grus antigone,Sếu cổ trụi,creature/animal/Grus_antigone.jpg,1,"Đầu và cổ trụi lông, ở má có một đám màu xám. Có một ít lông đen ở họng và quanh gáy. Dưới cổ và toàn bộ lông còn lại màu xám ngọc trai. Lông bao cánh sơ cấp và cánh sơ cấp, cánh con có màu đen. Mỏ màu xám lục nhạt, mắt vàng cam, chân màu đỏ thịt. Da trần ở đầu và mỏ có màu đỏ giống hoa antigon.","Chúng có chế độ ăn tạp, có thể ăn các thức ăn thô thường gặp tại đầm lầy và các vùng nước nông như rễ, củ cây, côn trùng, động vật giáp xác và một số loài thú có vú nhỏ.","Chỉ sống ở các vùng đất phèn ngập nước, có cỏ năn. Xuất hiện ở đồng bằng sông Cửu Long vào mùa khô, từ tháng 10 tới tháng 3 năm sau để kiếm ăn, sau đó bay về Campuchia để sinh sản."
