Science_Name,Name,Image,Red_list,Characteristic,Habitat
Fokienia,Pơ mu,creature/plant/Fokienia.JPG,1,"Pơ mu là cây thân gỗ lá thường xanh, cao 25–30 m. Cây có vỏ màu ánh nâu-xám dễ bị tróc khi cây còn non. Ở những cây già hơn, trên vỏ có các vết nứt theo chiều dọc, có mùi thơm. Các lá được sắp xếp trong các hệ thống cành nhánh nhỏ bằng phẳng, với các nhánh cây nhỏ nằm trên một mặt phẳng. Lá trên các cây trưởng thành mọc thành các cặp chéo chữ thập đối, các cặp so le không cách nhau đều đặn vì thế chúng biểu hiện như là các vòng xoắn 4 trên cùng một mức; chúng hơi sắc, dài khoảng 2–5 mm, phía trên xanh sẫm với các dải khí khổng màu trắng phía dưới. Các lá ở phần bên có dạng hình trứng và bị nén, còn các lá mặt có dạng mác ngược với đỉnh tam giác. Trên các cây non thì các lá lớn hơn, dài tới 8–10 mm và rộng 6 mm. Các nón đực có hình trái xoan hoặc hình trụ, dài khoảng 2,5 mm, phần cuối trên chồi cây. Chúng có từ 3 đến 5 cặp vảy bắc. Các nón cái lớn hơn nhiều, dài 15–25 mm và rộng 14–22 mm, dạng hình cầu hay gần như hình cầu và chín vào năm thứ hai. Chúng có 5-8 cặp vảy bắc. Trên mỗi vảy bắc có 2 hạt có cánh. Các hạt dài khoảng 4 mm, có góc cạnh và đầu nhọn. Trên các mặt trên và dưới có 2 chỗ phồng lớn chứa nhựa. Các cánh ở hai bên và không đều nhau.","Loài cây này không chịu được bóng râm, và cần có khí hậu mát mẻ, nhiều mưa. Nó mọc trên các loại đất ẩm trong các khu vực miền núi. Tại Việt Nam, nó mọc trên các địa hình đất đá vôi hay đất nguồn gốc granit từ độ cao 900 - 2400m mọc rải rác hoặc tạo thành rừng thuần loại hay đơn độc ở trên sườn hoặc đỉnh núi ."
Glyptostrobus pensilis,Thông nước,creature/plant/Glyptostrobus_pensilis.jpg,1,"Cây gỗ trung bình đến to, thân cao đến 30 m hay hơn, đường kính thân 0,6 – 1 m hay hơn. Vỏ dày, hơi xốp, màu xám, nứt dọc. Cây có rễ khí sinh không bị ngập, phát sinh từ rễ bên, cao 30 cm, mọc lan xa cách gốc tới 6–7 m. Cây rụng lá, có tán hình nón hẹp. Lá có 2 dạng: ở cành dinh dưỡng có hình dùi, dài 0,6-1,3 cm, xếp thành 2-3 dãy và rụng vào mùa khô, ở cành sinh sản có hình vảy, dài 0,4 cm và không rụng. Nón đơn tính, cùng gốc, mọc riêng rẽ ở đầu cành.Nón cái hình quả lê, mỗi vảy mang 2 noãn. Sau khi thụ tinh các vảy hóa gỗ và dính nhau ở gốc tạo thành một nón dài 1,8 cm, rộng 1,2 cm với các vảy gần như liền nhau 7 - 9 mũi nhọn hình tam giác, hơi uốn cong ra phía ngoài. Mỗi vảy mang 2 hạt, hình trứng, dài 13 mm, rộng 3 mm, mang cánh hướng xuống dưới.","Nón xuất hiện tháng 2-3, hạt chín vào tháng 11-12 và tồn tại tới mùa xuân năm sau. Rất ít gặp cây con tái sinh. Thông nước mọc rải rác trong một số rừng nhiệt đới nửa rụng lá trên đất feralit màu nâu đỏ hoặc nâu vàng sình lầy đọng nước, ở độ cao khoảng 700 m."
Momordica cochinchinensis,Cây gấc,creature/plant/Glyptostrobus_pensilis.jpg,1,"Là một loại cây leo thuộc họ Bầu bí (Cucurbitaceae), nổi bật với trái màu đỏ cam khi chín, thường được sử dụng trong thực phẩm và y học truyền thống. Đặc điểm nổi bật của cây bao gồm lá to, lòng bàn tay chia thành các thùy lớn, và hoa màu vàng. Trái của cây gấc có hình dạng đặc trưng, dài hình chảo, và chứa nhiều hạt màu đỏ cam.","Cây gấc thích hợp với môi trường sống ẩm ướt, đất thoát nước tốt, và nó thường được trồng ở các vùng nhiệt đới và cận nhiệt đới. Nó phát triển tốt trong điều kiện ánh sáng đầy đủ và thường được trồng làm cây leo che phủ hay cây leo cổng trang trí trong các khu vườn và nông trại. Cây gấc cũng có khả năng chịu nhiệt độ cao, làm cho nó thích ứng tốt với môi trường khí hậu ấm áp và mùa khô của các vùng nhiệt đới và cận nhiệt đới."
Morinda officinalis,Cây ba kích,creature/plant/Morinda_officinalis.jpg,1,"Cây bụi trườn hoặc dây leo gỗ nhỏ. Lá thuôn, nhẵn. Lá kèm thành bẹ ôm lấy thân. Cụm hoa đầu, gồm 8 - 10 hoa. Hoa mẫu 4 (4 lá đài, 4 cánh hoa, 4 nhị). Lá đài hình tam giác đều. Tràng màu trắng. Nhị đính ở đáy của sống tràng. Bầu nhẵn, vòi chẻ đôi ở đỉnh. Quả chín màu đỏ. Rễ cây cong queo, nhiều đoạn thắt nghẹt như ruột gà.","Mùa hoa tháng 5 - 6, mùa quả chín tháng 11 - 12. Cây tái sinh bằng hạt hoặc chồi. Cây mọc hoang trong các trảng cây bụi và rừng thưa, ở ven rừng rậm, ưa sáng và ẩm."
Panax vietnamensis,Cây sương sâm,creature/plant/Panax_vietnamensis.jpg,1,"Cây sương sâm (Panax vietnamensis) là một loài cây thuộc họ Araliaceae, nổi tiếng với giá trị dược liệu cao. Đặc điểm nổi bật của cây bao gồm các lá mọc tuần hoàn xung quanh thân cây, hình dáng lá tương tự lá quạt, có mặt lông mịn phủ bề mặt. Thân cây thường mảnh và có thể cao đến một số mét, mang đến cho cây sương sâm diện mạo độc đáo và thu hút. Hạt quả của cây cũng chứa nhiều hạt màu đỏ, tạo nên một hình ảnh đẹp mắt khi cây chín.","Cây sương sâm thường mọc ở những vùng đất núi có độ cao từ 800 mét trở lên, đặc biệt là ở các tỉnh miền Trung Việt Nam như Kon Tum, Quảng Nam, Gia Lai, và Đắk Lắk. Cây thích hợp với môi trường sống ẩm, bóng mát và đất giàu dinh dưỡng. Môi trường núi cao, với khí hậu mát mẻ và độ ẩm lớn, giúp cây sương sâm phát triển và phát huy tốt các tính chất dược liệu mà loài cây này nổi tiếng."
Polygonatum spp.,Cây hoàng liên,creature/plant/Polygonatum_spp..jpg,1,"Thuộc họ Asparagaceae, là một nhóm cây có đặc điểm lá mảnh mọc xen kẽ và thân cây thường cong có thể leo. Các loài trong chi này thường có hoa hình chuông nhỏ và quả màu đỏ hoặc đen. Cây hoàng liên nổi tiếng với cành thân mập mạp, nhẵn bóng và môi trường sống khá đa dạng.","Cây hoàng liên thích hợp với môi trường sống của khu vực ôn đới đến cận ôn đới. Chúng thường được tìm thấy ở các vùng núi cao, rừng ôn hòa và ẩm ướt, đặc biệt là ở những nơi có đất giàu hữu cơ và thoát nước tốt. Cây này có thể mọc tự nhiên dọc theo sườn đồi hoặc trong khu rừng ẩm, nơi mà độ ẩm đủ và ánh sáng có thể đáp ứng nhu cầu phát triển của chúng. Cây hoàng liên thường được ưa chuộng trong việc trồng làm cây cảnh hoặc trong vườn rừng ẩm, tạo nên không gian thiên nhiên tinh tế và độc đáo."
Polyscias fruticosa,Cây đinh lăng,creature/plant/Polyscias_fruticosa.jpg,0,"Cây bụi, thân sần sùi, mang nhiều vết sẹo do lá rụng để lại, cao 0, 8-1, 5 m. Lá kép lông chim 2-3 lần, mọc so le. Lá chét chia thùy nhọn không đềucó răng cưa ở mép lá, đáy cuống phình to thành bẹ lá.. Lá kèm dạng phiến mỏng dính hai bên bẹ lá. Cụm hoa kiểu chùm tán ở ngọn cành gồm nhiều hoa nhỏ, lưỡng tính. Lá bắc hình tam giác nhọn hợp thành tổng bao lá bắc ở gốc cuống hoa . Quả hạch dẹt mang vòi nhụy và đài tồn tại, vỏ quả màu xanh đậm có những nốt tròn.","Cây đinh lăng thích hợp với môi trường sống ẩm ướt và không khí mát mẻ. Mặc dù có thể phát triển trong ánh sáng yếu, nhưng chúng thích ứng tốt với ánh sáng trực tiếp hoặc gián tiếp. Môi trường nội thất với độ ẩm tương đối cao và nhiệt độ ổn định là lựa chọn lý tưởng cho cây đinh lăng phát triển và giữ được hình thức lá đẹp mắt của mình. Cây này thường được trồng trong chậu và đặt trong những nơi có ánh sáng tự nhiên đủ và không gian thoải mái."
Prunus spp.,Cây anh đào,creature/plant/Prunus_spp..jpg,1,"Là một nhóm cây thuộc họ hồ tiêu (Rosaceae), bao gồm nhiều giống và loài khác nhau. Đặc điểm chung của cây anh đào bao gồm lá mọc xen kẽ, có hình dáng hình bát giác, và hoa lớn, thường mọc thành cụm đài hoa rực rỡ. Hoa anh đào có nhiều màu sắc, từ trắng tinh khôi đến hồng nồng, tùy thuộc vào giống cây cụ thể.","Cây anh đào thích hợp với môi trường sống mát mẻ đến ôn đới, có ánh sáng đầy đủ và đất thoát nước tốt. Chúng thường được tìm thấy ở các vùng núi có độ cao trung bình, nơi có mùa đông lạnh giá và mùa hè ấm áp. Đất phù sa, giàu hữu cơ và có độ pH từ 6.0 đến 7.5 là lựa chọn lý tưởng cho sự phát triển của cây anh đào. Cây thường được trồng làm cây cảnh trong vườn, công viên, và các khu vực trang trí khác, tạo ra không gian tinh tế và quyến rũ, đặc biệt là trong mùa hoa anh đào nở."
Rhododendron,Cây đỗ quyên,creature/plant/Rhododendron.jpg,1,"Cây đỗ quyên (Rhododendron) là một loại cây cảnh quan trang trí phổ biến với đặc điểm nổi bật là tán lá rậm rạp và hoa đẹp mắt. Lá của cây thường có màu xanh đậm, hình dáng và kích thước có thể thay đổi tùy thuộc vào loài cụ thể. Hoa của cây đỗ quyên là đặc trưng nhất, thường có màu sắc rực rỡ và hình dáng độc đáo, tạo nên một diện mạo hấp dẫn trong các vườn hoa và công viên.","Cây đỗ quyên thường được tìm thấy ở những khu vực có khí hậu mát mẻ đến lạnh, thích hợp cho sự phát triển của loại cây này. Môi trường sống lý tưởng cho cây đỗ quyên bao gồm vùng núi với đất giàu hữu cơ, độ pH axit đến trung bình, và độ ẩm đủ. Các loài đỗ quyên thích ứng với nhiều loại đất khác nhau, từ đất phù sa đến đất sét, nhưng thường được tìm thấy ở vùng núi cao và rừng mưa ôn hòa, nơi chúng có thể tận hưởng điều kiện thời tiết mát mẻ và ẩm ướt."
Rhodomyrtus tomentosa,Cây sơn trà,creature/plant/Rhodomyrtus_tomentosa.jpg,1,"Cây bụi cao 1 - 3 m, thân non màu vàng nâu, có nhiều lông mịn; thân già màu nâu đen có các đường nứt chạy dài, tiết diện tròn. Lá đơn, mọc đối. Lá mọc đối, phiến lá dày, chóp tù, mép lá nguyên, phiến lá hình xoan, gốc nhọn, đầu tròn, dài 5 - 7 cm, rộng 3 - 4 cm; bìa phiến nguyên hơi cong xuống phía dưới; lá già mặt trên màu xanh lục đậm, nhẵn bóng, mặt dưới màu vàng xanh có rất nhiều lông mịn; lá non có lông ở cả 2 mặt. Gân lá hình lông chim nổi rõ mặt dưới, 9 - 10 cặp gân phụ; cặp gân phụ thứ nhất rất mờ xuất phát từ gốc chạy dọc sát theo bìa phiến tới ngọn; cặp thứ 2 to xuất phát cách đáy phiến 0,7 - 1 cm chạy song song theo mép lá cách bìa phiến 0,3 - 0,5 mm và nối với các cặp gân phụ còn lại. Cuống lá hình trụ, màu vàng nâu, có nhiều lông mịn, dài 1 - 1,2 cm. Không có lá kèm.Hoa màu hồng tím, mọc riêng lẻ hoặc 3 cái một ở nách lá (đôi khi có hoa màu trắng). Hoa đều, lưỡng tính, mẫu 5. Cuống hoa hình trụ, có nhiều lông mịn, dài 0,8 - 1,2 cm. Lá bắc dạng lá, cuống hình trụ dài 0,3 - 0,4 cm; phiến màu xanh, hình bầu dục, nhiều lông mịn, có 3 gân chính màu vàng nâu nổi rõ ở mặt dưới, dài 0,3 - 1 cm.Quả màu xanh, khi chín mọng màu tím sẫm, chứa nhiều hạt.","Cây thường mọc khắp trên các vùng đất trống, nương, rẫy bỏ hoang. Cây chịu được đất cằn, chịu hạn, tái sinh hạt, tái sinh chồi rất tốt. Cây ra hoa tháng 4 - 5, có quả tháng 8 - 9."
Rubus alceifolius,Cây mâm xôi,creature/plant/Rubus_alceifolius.jpg,1,"Cây mâm xôi (Rubus alceifolius) là một loài cây leo có thân cây linh hoạt, có thể bò trên mặt đất hoặc leo lên cấu trúc khác. Chiều cao của cây thường nằm trong khoảng 30-60 cm. Lá của cây có hình dạng chét với góc răng cưa, mặt dưới mảnh. Cây mâm xôi nổi bật với quả mâm xôi lớn, màu đỏ khi chín, mang lại ấn tượng thị giác đặc trưng.","Cây mâm xôi thích hợp với môi trường sống ẩm ướt và ôn hòa. Nó phát triển mạnh mẽ trong đất giàu chất hữu cơ và có khả năng thoát nước tốt. Môi trường với nguồn nước đầy đủ và đều cũng là yếu tố quan trọng. Cây này ưa ánh sáng trực tiếp mặt trời và thường được tìm thấy ở các vùng có ánh sáng mặt trời đầy đủ. Mâm xôi có khả năng chịu đựng với điều kiện khô hanh trong một số trường hợp, làm cho nó phổ biến trong nhiều loại đất và điều kiện khí hậu khác nhau."
Sansevieria trifasciata,Cây lưỡi hổ,creature/plant/Sansevieria_trifasciata.jpg,1,"Cây lưỡi hổ (Sansevieria trifasciata) là một loài cây cảnh nội thất phổ biến được biết đến với những đặc điểm thân mảnh, lá dày và màu xanh đậm. Đặc biệt, lá của cây có hình dạng dẹp và dài, giống như một chiếc lưỡi hổ, từ đó xuất phát tên gọi của nó. Lá của cây thường có các vằn sáng trên bề mặt, tạo nên một kiểu dáng trang trí độc đáo và thu hút.","Cây lưỡi hổ có khả năng chịu khói, bụi và có thể sống trong điều kiện ánh sáng yếu, làm cho nó trở thành một lựa chọn phổ biến cho việc trang trí nơi làm việc hoặc những khu vực có ánh sáng không đủ. Ngoài ra, cây cũng có khả năng chịu được nhiệt độ và độ ẩm biến đổi, giúp nó thích ứng tốt trong nhiều môi trường sống khác nhau. Mặt khác, cây lưỡi hổ cũng có thể phát triển tốt trong đất trồng giả mạo và không đòi hỏi nhiều chăm sóc, làm cho nó trở thành một lựa chọn lý tưởng cho những người mới chơi cây cảnh."
Sapium baccatum,Cây bứa,creature/plant/Sapium_baccatum.jpg,1,"Cây thường xanh, cao 10 - 15m, đường kính 30 - 60cm. Vỏ ngoài xám trắng, nứt dọc nông. Cành non mảnh, màu lục phấn, lúc non có cạnh nổi lên. Lá đơn, mọc cách, hình bầu dục rộng, đầu có mũi nhọn hay mũi lồi, gốc tròn hay tù, mặt trên có ánh bóng, mặt dưới màu lục phấn, dài 6 - 11 cm, rộng 3 - 6 cm, gân bên 11 - 13 đôi, cuống lá có 2 tuyến, ở mép gốc lá. Lá kèm sớm rụng.Cụm hoa nhiều 10 - 15 bông, thành nhóm dạng chùy ở đầu cành hay nách lá, hoa cái ở gốc hay hoàn toàn hoa đực, rất nhiều hoa khá dày, dài 4 - 12cm, hoa đực thành nhóm khoảng 6, nổi lên, nằm ở gốc 1 lá bắc hình trứng ngược, ở cạnh hai tuyến hình bầu dục dài, hằn thành nhiều góc. Hoa đực, cánh đài hình khuyên, hơi có răng dạng thùy nhỏ. Nhị 2. Hoa cái cao 5mm, lá bắc hình tim nhọn. Cánh đài hình khuyên xẻ thùy nhỏ. Bầu dạng trứng hơi dẹt, 2 ô, mỗi ô một noãn, vòi 2, hơi dính ở gốc.Quả mọng dẹt gần sinh đôi, thót dần về phía gốc, dài 13mm, rộng 11mm, đầu tròn màu lục phấn. Hạt 2, gần hình cầu.","Cây ưa sáng, sinh trưởng nhanh, thường gặp ở rừng phục hồi sau nương rẫy khai thác và cháy rừng. đòi hỏi đất tương đối khắt khe, phân bố chủ yếu trên đất feralit có độ phì cao, tầng dày, màu mỡ, ẩm, thoát nước. Tái sinh bằng 2 phương thức hạt và chồi, kể cả chồi rễ."
Stevia rebaudiana,Cây cỏ ngọt,creature/plant/Stevia_rebaudiana.jpg,0,"Cây cỏ ngọt, hay Stevia rebaudiana, thường có chiều cao từ 30-60 cm, với hình dạng của cụm lá nhỏ và lá mảnh, tạo nên bức tranh giống như cây cỏ. Lá của cây là nguồn chính của chất ngọt, với màu xanh đậm và có thể xuất hiện một lớp nhuyễn trắng. Chúng chứa các hợp chất diterpene glycoside như Stevioside và Rebaudioside A, đó là những chất mang lại đặc tính ngọt tự nhiên cho cây.","Cây cỏ ngọt thích hợp với môi trường sống ấm áp và nhiệt đới, thường phát triển mạnh mẽ trong đất có khả năng thoát nước tốt và nhu cầu nước đều đặn. Một pH đất từ 6.7 đến 7.2 là lý tưởng. Cây này cần ánh sáng trực tiếp mặt trời hoặc ánh sáng giả mạo để phát triển tốt. Yêu cầu về nước của Stevia đều, giúp duy trì độ ẩm đất, nhưng cây cũng có sự chịu đựng với điều kiện khô hạn trong một số trường hợp."
Terminalia catappa,Cây bàng,creature/plant/Terminalia_catappa.jpg,0,"Cây bàng (Terminalia catappa), còn được biết đến với tên gọi là cây bàng gai hay cây bàng biển, là một loại cây có nguồn gốc từ khu vực nhiệt đới và cận nhiệt đới. Đặc điểm nổi bật của cây bàng bao gồm lá xanh to lớn, hình dáng hơi hình chóp, với đỉnh lá nhọn và gốc hình trái tim. Lá cây có màu xanh bóng và thường thả rụng vào mùa khô, tạo ra một cảnh quan nổi bật và mát mẻ. Cây cũng cho quả màu đỏ khi chín, tạo thêm sự phong cách cho cây.","Cây bàng thích hợp với môi trường sống ấm áp và nhiệt đới, thường được tìm thấy ở ven biển và các khu vực cận nước. Nó có khả năng chịu chập chờn từ gió biển và nước mặn, làm cho nó trở thành một cây phổ biến trồng ở các khu vực ven biển của Việt Nam. Cây thích ứng tốt với nhiều loại đất và có thể sống trong điều kiện ánh sáng mặt trời đầy đủ, làm cho nó trở thành một cây lựa chọn phổ biến cho trang trí cảnh quan ở khu vực nhiệt đới."